experiment_num,scheduler_name,mode,n,duplicated_tasks,makespan
10,heft,top-n,3,"0,5,6",3.2085495539402324
10,heft,top-n,4,"0,5,6,1",3.2085495539402324
10,heft,top-n,5,"0,5,6,1,2",3.6554269722506345
10,heft,bottom-n,0,,3.673863907071208
10,heft,bottom-n,1,7,4.292069966251105
10,heft,bottom-n,2,"7,4",4.292069966251105
10,heft,bottom-n,3,"7,4,3",4.292069966251105
10,heft,bottom-n,4,"7,4,3,2",4.292069966251105
10,heft,bottom-n,5,"7,4,3,2,1",4.292069966251105
10,cpop,top-n,0,,4.074630171992079
10,cpop,top-n,1,0,4.074630171992079
10,cpop,top-n,2,"0,5",4.074630171992079
10,cpop,top-n,3,"0,5,6",4.074630171992079
10,cpop,top-n,4,"0,5,6,1",3.9357175144808556
10,cpop,top-n,5,"0,5,6,1,2",3.267981654998317
10,cpop,bottom-n,0,,4.074630171992079
10,cpop,bottom-n,1,7,4.455892647070967
10,cpop,bottom-n,2,"7,4",4.074630171992079
10,cpop,bottom-n,3,"7,4,3",4.253097225331884
10,cpop,bottom-n,4,"7,4,3,2",4.308542981573658
10,cpop,bottom-n,5,"7,4,3,2,1",3.923969358854432
11,heft,top-n,0,,4.8524960437916365
11,heft,top-n,1,0,4.8524960437916365
11,heft,top-n,2,"0,1",4.6140873927204336
11,heft,top-n,3,"0,1,3",4.6140873927204336
11,heft,top-n,4,"0,1,3,2",4.6140873927204336
11,heft,top-n,5,"0,1,3,2,5",4.6140873927204336
11,heft,bottom-n,0,,4.8524960437916365
11,heft,bottom-n,1,7,6.169179777612811
11,heft,bottom-n,2,"7,4",6.169179777612811
11,heft,bottom-n,3,"7,4,6",5.902101923643233
11,heft,bottom-n,4,"7,4,6,5",5.902101923643233
11,heft,bottom-n,5,"7,4,6,5,2",5.735943893099141
11,cpop,top-n,0,,4.663277684632113
11,cpop,top-n,1,0,4.663277684632113
11,cpop,top-n,2,"0,1",4.86892556226066
11,cpop,top-n,3,"0,1,3",3.960319954791659
11,cpop,top-n,4,"0,1,3,2",4.575052128155475
11,cpop,top-n,5,"0,1,3,2,5",5.039344107147187
11,cpop,bottom-n,0,,4.663277684632113
11,cpop,bottom-n,1,7,6.1368803406466395
11,cpop,bottom-n,2,"7,4",4.6140873927204336
11,cpop,bottom-n,3,"7,4,6",5.3567463680848
11,cpop,bottom-n,4,"7,4,6,5",6.092580487263418
11,cpop,bottom-n,5,"7,4,6,5,2",5.517836535744976
12,heft,top-n,0,,4.096641302207378
12,heft,top-n,1,0,4.096641302207378
12,heft,top-n,2,"0,1",4.096641302207378
