scheduler_name,recipe,workflow_instance,ccr,num_processors,mode,n,task_name,task_score,duplicated_tasks,target_benefit,num_target_processors,dup_factor,makespan,baseline_makespan,makespan_ratio,num_tasks,avg_task_cost,avg_edge_size,task_cost,incoming_comm,outgoing_comm,in_out_ratio,out_in_ratio,num_children,num_parents
cpop,seismology,0,10.0,8,top-n,3,sG1IterDecon_00000019,0.982046806017432,"sG1IterDecon_00000054,sG1IterDecon_00001074,sG1IterDecon_00000019",2.874571026876879,1,2,293.7194673833734,293.66364318611556,1.0001900957049097,1113,2.124207547169812,0.011916174460431654,0.561,0.0,0.003212,0.0,inf,1,0
cpop,seismology,0,10.0,8,bottom-n,1,sG1IterDecon_00000228,0.6708647610470142,sG1IterDecon_00000228,0.07368585606508304,1,2,293.7644165351407,293.66364318611556,1.0003431590915777,1113,2.124207547169812,0.011916174460431654,0.561,0.0,0.005514,0.0,inf,1,0
cpop,seismology,0,10.0,8,bottom-n,2,sG1IterDecon_00000878,0.6541379405067692,"sG1IterDecon_00000228,sG1IterDecon_00000878",0.004939675547348088,1,2,293.8587273912843,293.66364318611556,1.0006643117379195,1113,2.124207547169812,0.011916174460431654,1.501,0.0,0.002672,0.0,inf,1,0
cpop,seismology,0,10.0,8,bottom-n,3,sG1IterDecon_00000683,0.7102786470723264,"sG1IterDecon_00000228,sG1IterDecon_00000878,sG1IterDecon_00000683",0.39435151291223747,1,2,293.9930781356043,293.66364318611556,1.001121810469674,1113,2.124207547169812,0.011916174460431654,1.095,0.0,0.002632,0.0,inf,1,0
heft,seismology,0,10.0,16,top-n,1,sG1IterDecon_00001133,0.971488837554046,sG1IterDecon_00001133,2.7917255591428614,1,2,194.89495371956139,194.90219940647827,0.9999628239858813,1432,2.184557960893855,0.011771459119496855,0.561,0.0,0.001701,0.0,inf,1,0
heft,seismology,0,10.0,16,top-n,2,sG1IterDecon_00001329,0.971488837554046,"sG1IterDecon_00001133,sG1IterDecon_00001329",2.4530583337644316,1,2,194.88073691327133,194.90219940647827,0.9998898807028741,1432,2.184557960893855,0.011771459119496855,0.561,0.0,0.001701,0.0,inf,1,0
heft,seismology,0,10.0,16,top-n,3,sG1IterDecon_00001053,0.971488837554046,"sG1IterDecon_00001133,sG1IterDecon_00001329,sG1IterDecon_00001053",2.10741998901284,1,2,194.82613584377506,194.90219940647827,0.9996097347134366,1432,2.184557960893855,0.011771459119496855,0.561,0.0,0.001701,0.0,inf,1,0
heft,seismology,0,10.0,16,bottom-n,1,sG1IterDecon_00000381,0.6706049633347603,sG1IterDecon_00000381,0.1237814911885664,1,2,194.90768434686495,194.90219940647827,1.0000281420138069,1432,2.184557960893855,0.011771459119496855,0.561,0.0,0.003399,0.0,inf,1,0
heft,seismology,0,10.0,16,bottom-n,2,sG1IterDecon_00000287,0.7076085626321917,"sG1IterDecon_00000381,sG1IterDecon_00000287",0.4764166717383205,1,2,194.98254320616374,194.90219940647827,1.0004122262341324,1432,2.184557960893855,0.011771459119496855,1.586,0.0,0.002457,0.0,inf,1,0
heft,seismology,0,10.0,16,bottom-n,3,sG1IterDecon_00000451,0.7102369621784126,"sG1IterDecon_00000381,sG1IterDecon_00000287,sG1IterDecon_00000451",0.5522166665201382,1,2,195.18782912447597,194.90219940647827,1.0014655027950814,1432,2.184557960893855,0.011771459119496855,2.466,0.0,0.001701,0.0,inf,1,0
cpop,seismology,0,10.0,16,top-n,1,sG1IterDecon_00000163,0.9863764282624783,sG1IterDecon_00000163,3.6717689341307107,1,2,195.611471952372,195.62391662761988,0.9999363846943543,1432,2.184557960893855,0.011771459119496855,0.561,0.0,0.004161,0.0,inf,1,0
cpop,seismology,0,10.0,16,top-n,2,sG1IterDecon_00001431,0.9862891188612998,"sG1IterDecon_00000163,sG1IterDecon_00001431",3.4247888742674206,1,2,195.58648282658885,195.62391662761988,0.9998086440468202,1432,2.184557960893855,0.011771459119496855,0.561,0.0,0.004131,0.0,inf,1,0
cpop,seismology,0,10.0,16,top-n,3,sG1IterDecon_00000860,0.985781886177596,"sG1IterDecon_00000163,sG1IterDecon_00001431,sG1IterDecon_00000860",3.397436671561195,1,2,195.57786844677898,195.62391662761988,0.9997646086345947,1432,2.184557960893855,0.011771459119496855,0.561,0.0,0.003964,0.0,inf,1,0
cpop,seismology,0,10.0,16,bottom-n,1,sG1IterDecon_00000451,0.6472059894455797,sG1IterDecon_00000451,0.040562780388370356,1,2,195.62391662761988,195.62391662761988,1.0,1432,2.184557960893855,0.011771459119496855,2.466,0.0,0.001701,0.0,inf,1,0
cpop,seismology,0,10.0,16,bottom-n,2,sG1IterDecon_00000663,0.6594979560154295,"sG1IterDecon_00000451,sG1IterDecon_00000663",0.1603359034595826,1,2,195.62391662761988,195.62391662761988,1.0,1432,2.184557960893855,0.011771459119496855,2.306,0.0,0.001701,0.0,inf,1,0
cpop,seismology,0,10.0,16,bottom-n,3,sG1IterDecon_00000379,0.6633186038630312,"sG1IterDecon_00000451,sG1IterDecon_00000663,sG1IterDecon_00000379",0.0049931305942436666,1,2,195.79598404263885,195.62391662761988,1.0008795827114867,1432,2.184557960893855,0.011771459119496855,0.561,0.0,0.005822,0.0,inf,1,0
heft,seismology,1,0.5,16,top-n,1,sG1IterDecon_00000053,0.941225729530575,sG1IterDecon_00000053,0.4192390079886046,1,2,19.638518084466096,19.576956780455717,1.0031445798599217,131,2.3065496183206107,0.0118899,0.561,0.0,0.010219,0.0,inf,1,0
heft,seismology,1,0.5,16,top-n,2,sG1IterDecon_00000026,0.9263207751719107,"sG1IterDecon_00000053,sG1IterDecon_00000026",0.1948477594893525,1,2,19.63274842501209,19.576956780455717,1.0028498629885148,131,2.3065496183206107,0.0118899,0.561,0.0,0.006053,0.0,inf,1,0
heft,seismology,1,0.5,16,bottom-n,1,sG1IterDecon_00000067,0.6332008704151163,sG1IterDecon_00000067,0.009397002822851164,1,2,19.63778658239954,19.576956780455717,1.0031072143962922,131,2.3065496183206107,0.0118899,0.561,0.0,0.016604,0.0,inf,1,0
heft,seismology,1,0.5,16,bottom-n,2,sG1IterDecon_00000073,0.6086549269425472,"sG1IterDecon_00000067,sG1IterDecon_00000073",0.018505739144668354,1,2,19.63778658239954,19.576956780455717,1.0031072143962922,131,2.3065496183206107,0.0118899,0.561,0.0,0.002634,0.0,inf,1,0
cpop,seismology,1,0.5,16,top-n,1,sG1IterDecon_00000004,0.93378556829064,sG1IterDecon_00000004,0.3318285117495776,1,2,19.630066254322745,19.657520226880195,0.9986033857658247,131,2.3065496183206107,0.0118899,0.561,0.0,0.007905,0.0,inf,1,0
cpop,seismology,1,0.5,16,top-n,2,sG1IterDecon_00000080,0.9359407731336882,"sG1IterDecon_00000004,sG1IterDecon_00000080",0.3043745391921284,1,2,19.602196212252654,19.657520226880195,0.9971856056110328,131,2.3065496183206107,0.0118899,0.561,0.0,0.00852,0.0,inf,1,0
cpop,seismology,1,0.5,16,bottom-n,1,sG1IterDecon_00000041,0.6127380290294064,sG1IterDecon_00000041,0.029961115834893803,1,2,19.657520226880195,19.657520226880195,1.0,131,2.3065496183206107,0.0118899,0.561,0.0,0.003974,0.0,inf,1,0
heft,seismology,1,1.0,8,top-n,1,sG1IterDecon_00000070,0.9538838247236012,sG1IterDecon_00000070,0.3751508744877725,1,2,44.73954795274254,44.76942718187793,0.9993325974662575,151,2.1561192052980136,0.011872473333333335,0.561,0.0,0.007841,0.0,inf,1,0
heft,seismology,1,1.0,8,top-n,2,sG1IterDecon_00000115,0.9498329679353067,"sG1IterDecon_00000070,sG1IterDecon_00000115",0.4814867407407277,1,2,44.79424441286063,44.76942718187793,1.0005543343425387,151,2.1561192052980136,0.011872473333333335,0.561,0.0,0.006794,0.0,inf,1,0
