scheduler_name,experiment_num,dag_type,num_tasks,ccr,levels,branching_factor,num_processors,mode,n,task_name,task_score,duplicated_tasks,target_benefit,dup_factor,makespan,baseline_makespan,makespan_ratio,task_cost,incoming_comm,outgoing_comm,in_out_ratio,out_in_ratio,num_children,num_parents
heft,0,branching,14,1.0,3,3,2,top-n,1,0,0.7685356510480329,0,2.096884738828307,2,12.283479979483607,12.848212520284116,0.9560458281719003,0.22602039526178186,0.0,1.4539084714595385,0.0,inf,3,0
heft,0,branching,14,1.0,3,3,2,bottom-n,1,0,0.7685356510480329,0,2.096884738828307,2,12.283479979483607,12.848212520284116,0.9560458281719003,0.22602039526178186,0.0,1.4539084714595385,0.0,inf,3,0
cpop,0,branching,14,1.0,3,3,2,top-n,1,0,0.7433350939912718,0,0.8204799988670574,2,12.888333871495831,12.888333871495831,1.0,0.22602039526178186,0.0,1.4539084714595385,0.0,inf,3,0
cpop,0,branching,14,1.0,3,3,2,top-n,2,3,0.5882295981583043,"0,3",0.23946885579599453,2,12.648865016659709,12.888333871495831,0.9814197197850579,0.19069047187914326,0.7062556817165939,1.6025864308623219,0.4406974052167476,2.2691306737060803,3,1
cpop,0,branching,14,1.0,3,3,2,bottom-n,1,3,0.5882295981583043,3,0.23946885579599453,2,12.648865016659709,12.888333871495831,0.9814197197850579,0.19069047187914326,0.7062556817165939,1.6025864308623219,0.4406974052167476,2.2691306737060803,3,1
cpop,0,branching,14,1.0,3,3,2,bottom-n,2,0,0.7960253688471192,"3,0",2.9173647376953644,2,12.648865016659709,12.888333871495831,0.9814197197850579,0.22602039526178186,0.0,1.4539084714595385,0.0,inf,3,0
heft,0,branching,22,1.0,3,4,2,top-n,1,6,0.9309005046877233,6,1.956853610308098,2,22.655445479484378,24.053977399549307,0.9418586000629097,0.13761120799457296,0.24672263251772697,0.8389385185284312,0.29408905070957914,3.4003306059412837,1,1
heft,0,branching,22,1.0,3,4,2,top-n,2,8,0.7373472715925352,"6,8",0.11099637102640969,2,22.544449108682368,24.053977399549307,0.9372441294928954,0.1721010306589333,0.6886436093810817,0.2244000254416739,3.068821440753687,0.32585799444701646,1,1
heft,0,branching,22,1.0,3,4,2,top-n,3,0,0.7128288610194835,"6,8,0",0.20151403256293,2,22.469527880742607,24.053977399549307,0.9341294168324783,0.10906077301516628,0.0,1.4000441212191137,0.0,inf,4,0
heft,0,branching,22,1.0,3,4,2,bottom-n,1,0,0.42129690391407704,0,0.20151403256293,2,24.053977399549307,24.053977399549307,1.0,0.10906077301516628,0.0,1.4000441212191137,0.0,inf,4,0
heft,0,branching,22,1.0,3,4,2,bottom-n,2,8,0.6150538659283075,"0,8",0.5435969069185376,2,24.053977399549307,24.053977399549307,1.0,0.1721010306589333,0.6886436093810817,0.2244000254416739,3.068821440753687,0.32585799444701646,1,1
heft,0,branching,22,1.0,3,4,2,bottom-n,3,6,0.9309005046877233,"0,8,6",1.5844495190311,2,22.469527880742607,24.053977399549307,0.9341294168324783,0.13761120799457296,0.24672263251772697,0.8389385185284312,0.29408905070957914,3.4003306059412837,1,1
cpop,0,branching,22,1.0,3,4,2,top-n,1,6,0.9309005046877233,6,1.9356761798559283,2,21.987833430525257,23.923509609542247,0.919088954312752,0.13761120799457296,0.24672263251772697,0.8389385185284312,0.29408905070957914,3.4003306059412837,1,1
cpop,0,branching,22,1.0,3,4,2,top-n,2,0,0.7716245136019987,"6,0",0.7777069883051488,2,21.987833430525257,23.923509609542247,0.919088954312752,0.10906077301516628,0.0,1.4000441212191137,0.0,inf,4,0
cpop,0,branching,22,1.0,3,4,2,bottom-n,1,0,0.5772015046522856,0,0.7777069883051488,2,23.923509609542247,23.923509609542247,1.0,0.10906077301516628,0.0,1.4000441212191137,0.0,inf,4,0
cpop,0,branching,22,1.0,3,4,2,bottom-n,2,6,0.9309005046877233,"0,6",1.9356761798559283,2,21.987833430525257,23.923509609542247,0.919088954312752,0.13761120799457296,0.24672263251772697,0.8389385185284312,0.29408905070957914,3.4003306059412837,1,1
heft,0,branching,16,1.0,4,2,2,top-n,1,0,0.7560535679950557,0,0.011202713850985813,2,8.142506927892203,8.142506927892203,1.0,0.8578620450054721,0.0,1.4300284414804336,0.0,inf,2,0
heft,0,branching,16,1.0,4,2,2,bottom-n,1,0,0.7560535679950557,0,0.011202713850985813,2,8.142506927892203,8.142506927892203,1.0,0.8578620450054721,0.0,1.4300284414804336,0.0,inf,2,0
cpop,0,branching,16,1.0,4,2,2,top-n,1,9,0.9101804300403389,9,0.552298165394598,2,7.854700868727784,8.406999033363945,0.9343049568051197,0.15695639673058723,0.2909491037984488,0.758436851818542,0.3836167811477324,2.606768132009574,1,1
cpop,0,branching,16,1.0,4,2,2,top-n,2,0,0.7560535679519249,"9,0",0.011202713850985813,2,7.854700868727784,8.406999033363945,0.9343049568051197,0.8578620450054721,0.0,1.4300284414804336,0.0,inf,2,0
cpop,0,branching,16,1.0,4,2,2,bottom-n,1,0,0.4376458078498422,0,0.011202713850985813,2,8.406999033363945,8.406999033363945,1.0,0.8578620450054721,0.0,1.4300284414804336,0.0,inf,2,0
